iter	Passed	Remaining
0	0	90
1	1	83
2	2	77
3	2	70
4	3	68
5	4	67
6	5	68
7	5	68
8	6	69
9	7	68
10	8	67
11	8	65
12	9	64
13	10	63
14	11	63
15	12	63
16	12	62
17	13	61
18	14	61
19	15	62
20	16	62
21	17	61
22	17	60
23	18	58
24	19	58
25	20	57
26	21	56
27	21	55
28	22	54
29	23	54
30	23	53
31	24	52
32	25	51
33	25	50
34	26	49
35	27	48
36	27	47
37	28	46
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	33	42
44	33	41
45	34	40
46	35	39
47	36	39
48	37	38
49	38	38
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	50	24
67	51	24
68	51	23
69	52	22
70	53	21
71	54	21
72	54	20
73	55	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	60	15
80	61	14
81	62	13
82	63	12
83	63	12
84	64	11
85	65	10
86	65	9
87	66	9
88	67	8
89	68	7
90	68	6
91	69	6
92	70	5
93	71	4
94	71	3
95	72	3
96	73	2
97	74	1
98	75	0
99	75	0
